img,reference,predicts,source,BLEU,CHRF,CHRF++,TER,BERT-P,BERT-R,BERT-F1,METEOR,COMET,cluster
logo/logo_0005.jpg,"Baseus倍思
يحتوي القلم على ثلاثة حبيبات
حل تحديات التنظيف
ينظف جيدا دون ترك تلوث الغبار
رأس فرشاة صغير قوي
تنظيف البقع في الشقوق
رأس فرشاة كبير وناعم
نظف الغبار عن سطح سماعات الأذن
رأس الإسفنج
نظف حجرة شحن سماعات الأذن جيدا","Baseus بيس

قلم ثلاثي الرأس
حل مشكلة التنظيف
الغبار والبقع  تنظيف شامل دون أي بقايا

1
رأس فرشاة كثيفة كبيرة
تنظيف الغبار من سطح سماعة الأذن

2
رأس فرشاة قوية صغيرة
تنظيف الشقوق والبقع الصعبة

3
رأس إسفنج ذاكرة
تنظيف عميق لمحمل سماعات الأذن","Baseus倍思
一笔三头
解决清洁难题
灰尘污渍 彻底清理不残留
强力小刷头
清理缝隙顽固污渍
细密大刷头
清理耳机表面灰尘
记忆海绵头
深入清洁耳机充电仓",3.683827136968716,42.84704932078184,37.86672977918892,83.72093023255815,0.7986976504325867,0.8057988286018372,0.8022325038909912,0.2835105175544795,0.7435963749885559,0
logo/logo_0058.jpg,"Benks邦克仕
حماية أفضل
أكثر كمالا
خطة الشاشة الأصلية
يمكنك الاستمتاع بنفس الشعور الذي تشعر به الشاشة المرئية
نسبة عالية تحل محل التفرد
باستخدام عملية الانحناء الساخن من Corning ، تكون الشاشة دون عائق
تجربة
حياة
السعي","بنكس بانكش
حمي ما تحب
حماية أفضل
خطة الشاشة الأصلية
متعة مشابهة لشاشة العرض
تغطية عالية النسبة حصرية
إصدار أول من تقنية الانحناء الحراري للمواد الكورنينج، تتوافق الشاشة بدون عوائق
09:41
تجربة
حياة
سعي","Benks邦克仕
护你所爱
protect better
原屏计划
荧幕视觉般的享受
高占比覆盖独享
首发康宁材质热弯工艺，屏幕适配无遮挡
An experience
An life
An pursuit",6.280797907983447,38.46807677523574,34.15853609211227,82.05128205128204,0.759809672832489,0.7699029445648193,0.7648230195045471,0.2231174107761207,0.6693210005760193,0
主体人工文字/主体人工文字_0006.jpg,"الرعاية المضادة للبكتيريا من الفئة A 99%≥مقاومة العث
يمكن للبشرة الحساسة أيضًا النوم عاريًا بالقرب من الجسم
99٪ ≥ معدل مقاومة العث
· العناية المضادة للبكتيريا والعث
· عازلة امتصاص الرطوبة للألياف
· ترقية طلاء TPU المقاوم للماء والبول
· سهلة الغسيل والغسل في الغسالة","A فئة حماية مضادة للبكتيريا 99% ≥ مقاومة للغبار  
الجلد الحساس يمكن أن ينام عاري الجسم أيضًا  
  
99% ≥ معدل مقاومة للغبار  
• حماية مضادة للبكتيريا والغبار  
• امتصاص رطب الألياف وتخفيفه  
• غشاء TPU مائي ومقاوم للبول مُحدّث  
• غسيل سهل في الغسالة","A类抗菌呵护99%≥阻螨
娇嫩肌肤亦可贴身裸睡
99%≥阻螨率
·抗菌阻螨呵护
·纤维吸湿缓冲
·升级防水隔尿TPU覆膜
·方便水洗机洗",5.147735926044583,43.45290205574619,37.04980985153714,80.85106382978722,0.828997015953064,0.828089714050293,0.8285431265830994,0.2567638000473821,0.738071084022522,0
主体人工文字/主体人工文字_0020.jpg,"سميكة 5 طبقات من الصلب
التوصيل الحراري بالتساوي
الفولاذ المقاوم للصدأ المغناطيسي
مقاومة عالية للتآكل
نوع موصل حراري من الألومنيوم النقي
نوع موصل حراري الألومنيوم النقي
الغذاء الصف 304 الفولاذ المقاوم للصدأ
التوصيل الحراري الموحد
طبقة مزدوجة لتعزيز التوصيل الحراري
الصحة والراحة البال
الركيزة من نوع تخزين الطاقة
تخزين السعرات الحرارية العالية 
الصحة
0 الطلاء
304 الفولاذ المقاوم للصدأ","تقوية 5 طبقات من الفولاذ  
توزيع الحرارة بشكل متساوٍ  

• الفولاذ المقاوم للصدأ المغناطيسي  
عالي التحمل ضد التآكل  

• الألومنيوم النقي من النوع الموصل للحرارة  
توزيع حراري متساوٍ  

• الألومنيوم النقي من النوع الموصل للحرارة  
تعزيز مزدوج لتوزيع الحرارة  

• الفولاذ المقاوم للصدأ من الدرجة الغذائية 304  
صحي وآمن  

• المواد الأساسية من النوع الخزان للطاقة  
تخزين كمية عالية من الحرارة  

الصحة  
0 طبقة  
الفولاذ المقاوم للصدأ 304","加厚5层钢
导热均匀
导磁不锈钢
高耐腐蚀性
导热型纯铝
导热型纯铝
食品级304不锈钢
均匀导热
双层加强导热
健康安心
储能型基材
储存高热量
健康
0涂层
304不锈钢",9.54154058120772,53.730220412075525,48.370234946312415,83.05084745762711,0.7946847081184387,0.7953978180885315,0.7950411438941956,0.4038509541508366,0.7351431250572205,0
主体人工文字/主体人工文字_0027.jpg,"تصميم نسيج قرص العسل المزدوج
ترقية جديدة غير لاصقة
[الأداء غير اللاصق للعجة يصل إلى المعيار الوطني غير اللاصق]
هيكل قرص العسل المزدوج
نسيج قرص العسل العادي
تأثير غير لاصق أكثر وضوحًا، مما يجعل الطهي أسهل
الملمس سميك وهيكل رقيق، ومن السهل على المبتدئين الالتصاق بالمقلاة","تصميم نمط خلية النحل المزدوج  
تحديث جديد لعدم الالتصاق  
[أداء عدم الالتصاق للقلي يحقق معيار عدم الالتصاق من المستوى الأول وفقًا للمعايير الوطنية]  

هيكل خلية النحل المزدوج  
تأثير عدم الالتصاق أكثر وضوحًا،  
تقليل جهد الطهي  

نمط خلية النحل العادي  
النسيج خشن والهيكل نادر،  
سهل الالتصاق للمبتدئين","双蜂窝纹理设计
不粘新升级
【煎蛋不粘性能达到国标1级不粘标准】
双蜂窝结构
普通蜂窝纹理
不粘效果更显著，下厨更轻松
纹理粗结构稀，新手易粘锅",2.8310852916881277,38.38732544236689,32.450004438529966,81.25,0.7975815534591675,0.7887414693832397,0.7931368947029114,0.177662037037037,0.7082472443580627,0
主体人工文字/主体人工文字_0062.jpg,"ترقية نمط قرص العسل شبكة نقطية فائقة الكثافة
البيض المقلي والأسماك المقلية
جميع المقالي غير اللاصقة
تحسين الأداء المضاد للالتصاق بنسبة 60%، ومقاومة التآكل بنسبة 10%؛
نمط قرص العسل شبكة نقطية فائقة الكثافة
خطوط رقيقة متناثرة
مقلاة أكثر كثافة وغير لاصقة طويلة الأمد ولن تحترق القاع
الهيكل المتناثر يميل المبتدئون إلى الالتصاق بالمقلاة بسهولة
نمط قرص العسل من الجيل الخامس
نمط قرص العسل العادي","ترقية النمط الكثيف للنحل  
قلي البيض وقلي السمك لا يلتصق بالقدر  
أداء مقاومة الالتصاق يزيد بنسبة 60٪ ، والمتانة تزيد بنسبة 10٪  
نمط خلايا النحل الكثيف  
الكثافة أكبر ، لا يلتصق القدر ولا يحترق القاع  
الجيل الخامس من نمط خلايا النحل  
نمط رقيق ورقيق  
الهيكل متباعد ، المبتدئين يسهل عليهم الالتصاق بالقدر  
نمط خلايا النحل العادي","升级超密点阵蜂窝纹
煎蛋煎鱼
样样不粘锅
抗粘性能提升60%，耐磨性提升10%
超密点阵蜂窝纹
稀疏式薄纹
密度更大 持久不粘锅不糊底
结构稀疏 新手容易粘锅
第五代蜂窝纹
普通蜂窝纹",1.7884283426049743,33.741951482656816,28.719093090603604,85.29411764705883,0.7797610759735107,0.7550995349884033,0.7672321796417236,0.1484056109234817,0.6681448817253113,0
主体自然文字/主体自然文字_0006.jpg,"المتجر الرئيسي الرسمي
متجر مخصص للدقة منذ عام 1997
凯丰
ضمان مدى الحياة
دقيقة ودائمة
الترقية
توفير الطاقة ودائم
الترقية
الدقة المضادة للاهتزاز
الترقية
سميكة ومقاومة السقوط
20 يوان
تخفيض الكوبون على الفور
أغلى بكثير أفضل بكثير","الرقم الرسمي للعلم
مكرس لدقة - منذ عام 1997
ضمان مدى الحياة
دقيق ومتين
ترقية توفير الطاقة والمتانة
ترقية دقة ومقاومة الاهتزاز
ترقية سميكة ومقاومة السقوط
20
أغلى قليلاً أفضل بكثير","官方旗舰店
专注精准·源自1997
凯丰
终身质保
精准耐用
升级
省电耐用
升级
精准防抖
升级
加厚抗摔
20元
领券立减
贵一点 好很多",13.694269798958702,51.06356566185121,47.12035669465806,60.526315789473685,0.8333321809768677,0.809296727180481,0.8211386203765869,0.4211559924450549,0.6857439279556274,0
主体自然文字/主体自然文字_0018.jpg,"مرنة لاصق
غراء الحفر المرن الملك الصلب
المالتوز الصمغ ، اللزوجة القوية ، المتانة
لصق المثقاب سواروفسكي قوي جدًا
فائقة المقاومة وطويلة الأمد، 
لاتبييض  ولا يصفر
المثقاب اللاصق قوي جدًا
المواصفات: 12g/30g
المواد الخام المستوردة النقية","ELASTIC ADHESIVE

الملصق المرن القوي للحلي

☑ مادة سكرية لزجة، قوية اللزوجة، مرنة
☑ تلتصق بقوة بالحلي الفاخرة
☑ مقاومة فائقة ودائم، لا يبيض ولا يصفر
☑ ""مُنهي"" لتثبيت الحلي

المواصفات: 12g/30g

مواد خام مستوردة نقية

OUBOLI NAIL SERIES
سلسلة الجيل من فن الأظافر الاحترافية
Professional Nail Polish Gel

الملصق المرن القوي للحلي","ELASTIC ADHESIVE
牢固王弹力粘钻胶
麦芽糖胶质，黏稠性强，有韧性
粘施华洛世奇钻很牢固
超强耐持久，不发白，不泛黄
粘钻“终结者”
规格：12g/30g
纯进口原料",7.367445336559725,37.389428888356576,31.45572995327801,126.3157894736842,0.6849520206451416,0.7255797982215881,0.7046808004379272,0.1805510925449871,0.6137378811836243,0
倾斜文本/倾斜文本_0012.jpg,"اللون الرمادي الداكن
مقعد مزدوج كبير الحجم
عرض الجانب 80cm
ارتفاع 68 سم
عمق المقعد 45 سم
ارتفاع المقعد 30
طول المقعد 95 سم
يوم عضوية الأثاث والديكور المنزلي PLUS
مصدر المصنع
إعادة إصدار مجانية للكسر
إرسال قطعة واحدة خصم 10%
PLUS","اللون الرمادي الداكن
مقعد مزدوج كبير الحجم
80 سم عرض الجانب
68 سم الارتفاع الكلي
45 سم عمق المقعد
95 سم طول المقعد
30 سم ارتفاع الجلوس
يوم عضوية PLUS للأثاث والديكور المنزلي
المصنع الأصلي استبدال مجاني في حالة التلف خصم 10٪ على قطعة واحدة","深灰色
双人位 特大款
侧宽80cm
整高68cm
座深45cm
座高30
座长95cm
家具家装PLUS会员日
源头工厂
破损免费补发
发一件九折
PLUS",25.84713955509229,64.32226686915172,62.48380567510592,55.81395348837209,0.8996744751930237,0.9164873361587524,0.908003032207489,0.6194444444444445,0.7697241902351379,0
倾斜文本/倾斜文本_0014.jpg,"جسم صغير مريح ولا يأخذ مساحة
حجم مدمج، يمكن وضع الأريكة والسرير بسهولة بغض النظر عن المشهد، وامتلكه بنقرة واحدة
يتغطي مساحة ≈1م² فقط
ضعه في غرفة المعيشة والشرفة
العمق الكلي: 100cm","الجسم الصغير مريح ولا يشغل مساحة
الحجم الصغير، لا يختار المشهد ويمكن وضعه بسهولة. أريكة وسرير في متناول اليد
العرض: 104 سم
الموقع فقط ≈ 1م² لغرفة المعيشة | للشرفة
العمق الكلي: 100 سم","小身姿舒适 不占空间
小巧身姿，不挑场景可轻松放置 沙发和床一键拥有
占地仅≈1m²
放客厅|放阳台
总深：100cm",5.546385070864082,45.4025752174763,38.90152047872226,84.375,0.8163400888442993,0.8022431135177612,0.8092302083969116,0.2480538922155689,0.6956430077552795,0
