img,reference,predicts,source,BLEU,CHRF,CHRF++,TER,BERT-P,BERT-R,BERT-F1,METEOR,COMET,cluster
logo/logo_0005.jpg,"Baseus倍思
3-in-1 マルチプラシ
清掃の難題を解決
ホコリ・頑固な汚れも徹底清掃&ゼ口残留
パフフル小型プラシペッド
隙間のこびりつき汚れを強力除去
高密度大型プラシペッド
イャホン表面の微細ホコリを一掃
メモリーフオームへッド
イャホン充電ゲ-スの奥まで精密清掃","Baseus倍思

一笔三頭  
清掃の難題を解決  

ほこり汚れ 完全に清掃し、残さない  

1  
細密な大きなブラシヘッド  
イヤホン表面のほこりを清掃  

2  
強力な小さなブラシヘッド  
隙間の頑固な汚れを清掃  

3  
記憶スポンジヘッド  
イヤホン充電ケースの深部清掃","Baseus倍思
一笔三头
解决清洁难题
灰尘污渍 彻底清理不残留
强力小刷头
清理缝隙顽固污渍
细密大刷头
清理耳机表面灰尘
记忆海绵头
深入清洁耳机充电仓",3.479789360876994,23.150319278313717,19.56286594108708,68.11594202898551,0.7964717149734497,0.7678235769271851,0.7818852663040161,0.0763358778625954,0.7555766701698303,0
logo/logo_0058.jpg,"Benks邦克仕
あなたの大切なものを守る
より優れた保護
オリジナルスクリーンプロジェクト
シネマティック・ビジュアル体験
ハイカバレッジ独占設計
世界初 コ-ニング素材採用+3D熱成形加エ、フレームレスフルカバ-設計
体験の革新
理想の生活
至高の追求","Benks 邦クルシ  
あなたが愛するものをお守りします  
Protect Better  

原画面計画  
映画のような視覚体験  
高比率カバーを独占  

初めてのコーニング素材熱曲げ加工、画面適合遮蔽なし  

09:41  

An experience  
An life  
An pursuit","Benks邦克仕
护你所爱
protect better
原屏计划
荧幕视觉般的享受
高占比覆盖独享
首发康宁材质热弯工艺，屏幕适配无遮挡
An experience
An life
An pursuit",0.0,10.796796525738635,8.097597394303978,84.48275862068965,0.7125908136367798,0.6971076726913452,0.7047642469406128,0.0,0.6728948950767517,0
主体人工文字/主体人工文字_0006.jpg,"この製品はA類抗菌基準に適合し、ダニ防止効果が99%以上を達成、保護効果を実現しています。
デリケートな肌にも直接触れて眠れる
99%以上のダニ防止率
抗菌、ダニ防止、保護
繊維が吸湿性と緩衝性を持つ
防水機能を備え、尿を遮断するTPUコーティング
水洗いや洗濯機でも洗浄が便利です。","Aクラス抗菌ケア99%≥ダニ防止  
繊細な肌でも直接寝ることができます  

99%≥ダニ防止率  
・抗菌ダニ防止ケア  
・繊維吸湿緩衝  
・防水防尿TPUフィルムアップグレード  
・水洗い機洗い可能","A类抗菌呵护99%≥阻螨
娇嫩肌肤亦可贴身裸睡
99%≥阻螨率
·抗菌阻螨呵护
·纤维吸湿缓冲
·升级防水隔尿TPU覆膜
·方便水洗机洗",8.29519350710986,14.094720768547312,10.571040576410484,68.42105263157895,0.7585234045982361,0.712007462978363,0.7345297932624817,0.2323232323232323,0.7484904527664185,0
主体人工文字/主体人工文字_0020.jpg,"厚みのある5層
均等な熱伝導
磁性を持つステンレス
優れた耐腐食性
熱伝導性純アルミニウム
熱伝導性純アルミニウム
食品グレ-ドの304ステンレス
均等な熱伝導
二重層で強化された熱伝導
健康で安心
工ネルギ一蓄積型基材
高い熱量を蓄える
健康
コ-ティングなし
304ステンレス","加厚5層鋼  
導熱均一  

導磁ステンレス鋼  
高い耐食性  

導熱型純アルミニウム  
均一な導熱  

導熱型純アルミニウム  
二重強化導熱  

食品グレード304ステンレス鋼  
健康安心  

蓄熱型基材  
高熱を蓄える  

健康  
0コーティング  

304ステンレス鋼","加厚5层钢
导热均匀
导磁不锈钢
高耐腐蚀性
导热型纯铝
导热型纯铝
食品级304不锈钢
均匀导热
双层加强导热
健康安心
储能型基材
储存高热量
健康
0涂层
304不锈钢",2.627961710408444,31.78212460070832,24.6755866168665,52.0,0.8320522308349609,0.8016470670700073,0.8165667057037354,0.0333333333333333,0.8331498503684998,0
主体人工文字/主体人工文字_0027.jpg,"ダブルハニカムテクスチャーデザイン
焦げ付き防止性能が改良版
【目玉焼きの焦げ付き防止性能が国家基準レベル1に適合します】
二重八二力ム構造
通常のハ二力ム加工
抜群のノンスティック効果で料理がさらに楽々
テクスチャーが粗く間隔が広いため、初心者は焦げ付きやすい","二重ハニカムテクスチャデザイン  
粘着防止新バージョンアップグレード  
【卵を焼く際の粘着性が国標I級粘着防止基準に達成】  

二重ハニカム構造  
粘着効果がより顕著で、  
調理がより楽になります  

普通のハニカムテクスチャ  
テクスチャが粗く、構造が希薄で、  
初心者が粘着しやすい","双蜂窝纹理设计
不粘新升级
【煎蛋不粘性能达到国标1级不粘标准】
双蜂窝结构
普通蜂窝纹理
不粘效果更显著，下厨更轻松
纹理粗结构稀，新手易粘锅",0.0,19.357038918488712,14.517779188866534,79.22077922077922,0.8046404719352722,0.7859396934509277,0.7951801419258118,0.0,0.8012827634811401,0
主体人工文字/主体人工文字_0062.jpg,"超高密度ハニカムパターンにアップグレ-ド
卵焼きや魚の調理
どんなものでもくっつかない鍋
くっつきにくさ60%向上、耐摩耗性10%向上
超高密度八ニカムパターン
疎な薄いパターン
密度が高く、長持ちして焦け付きにくい
構造が疎で初心者は焦げ付きやすい
第五世代ハニカムパターン
一般的な八二カムパターン","アップグレードされた超密点配列の蜂窩模様  
卵を焼く、魚を焼く、すべてが鍋に付かない  

抗粘着性能は60%向上し、耐久性は10%向上  

超密点配列の蜂窩模様  
密度が大きく、長期間鍋に付かず焦げない  

第五世代の蜂窩模様  

稀薄な薄い模様  
構造が希薄で、初心者が鍋に付けやすい  

普通の蜂窩模様","升级超密点阵蜂窝纹
煎蛋煎鱼
样样不粘锅
抗粘性能提升60%，耐磨性提升10%
超密点阵蜂窝纹
稀疏式薄纹
密度更大 持久不粘锅不糊底
结构稀疏 新手容易粘锅
第五代蜂窝纹
普通蜂窝纹",6.330984178784958,16.89386310121598,12.670397325911988,100.0,0.7704922556877136,0.7481342554092407,0.7591486573219299,0.1838529176658672,0.7682593464851379,0
主体自然文字/主体自然文字_0006.jpg,"公式フラッグシップストア
精密への追求、1997年創業
凯丰
生涯保証
精密性、耐久性に優れる
アップグレード
省エネ設計＆耐久性抜群
アップグレード
高精度 振動防止
アップグレード
厚み増し設計＆耐衝撃性強化
クーポン取得で20元即時割引
少し高いが、品質は格段に良い","公式旗艦店

専注精度・源自1997

終身保証
精密耐久

アップグレード 省電力耐用
アップグレード 精密防振
アップグレード 厚手耐衝撃

クーポン利用で20円引き 貴い一点 とても良い","官方旗舰店
专注精准·源自1997
凯丰
终身质保
精准耐用
升级
省电耐用
升级
精准防抖
升级
加厚抗摔
20元
领券立减
贵一点 好很多",3.764425715190367,22.8733703513386,19.910904269182687,69.1358024691358,0.7922672033309937,0.7466480731964111,0.7687814831733704,0.1079136690647481,0.731226921081543,0
主体自然文字/主体自然文字_0018.jpg,"エラスティック アディシブ
ラオグワン フレキシブル接着ドリル用ジェル
マルトースコロイド配合で高粘性＆柔軟性を持つ
スワロフスキークリスタルを強力に接着できる
超長く持ち、白くならない、黄ばみなし
接着ドリルの「ターミネーター」
仕様：12g／30g
原材料が100%輸入されたものです。","ELASTIC ADHESIVE  
牢固王弾力粘着ジェル  

☑ 麦芽糖ゲル質、粘稠性が強く、靭性がある  
☑ ハロワールドの奇石を貼り付けると非常に堅牢  
☑ 超強力で長持ちし、白くならない、黄色くならない  
☑ 粘着「終結者」  

規格：12g/30g  
純輸入原料  

OUBOLI NAIL SERIES  
プロのネイルアート ゲルシリーズ  
Professional Nail Polish Gel  
PURE IMPORTED RAW MATERIALS  
牢固王弾力粘着ジェル","ELASTIC ADHESIVE
牢固王弹力粘钻胶
麦芽糖胶质，黏稠性强，有韧性
粘施华洛世奇钻很牢固
超强耐持久，不发白，不泛黄
粘钻“终结者”
规格：12g/30g
纯进口原料",0.0,12.331704058705222,9.248778044028915,135.1851851851852,0.6803708672523499,0.690682053565979,0.685487687587738,0.0,0.7318428158760071,0
倾斜文本/倾斜文本_0012.jpg,"ダークグレーカラー
ダブルサイズ 特大モデル
サイド幅80cm
全高68cm
座面奥行45cm
座面高30cm
座面長95cm
家具インテリアPLUS会員デー
メーカー直営工場
破損品があれば、無償再送制度
1個購入で10%OFF
PLUS","深灰色  
二人用 特大サイズ  

側幅80cm  
座深45cm  
座長95cm  
全体高さ68cm  
座面高さ30cm  

家具・インテリアPLUS会員日  
工場直送 破損無料補償 1点9割引き","深灰色
双人位 特大款
侧宽80cm
整高68cm
座深45cm
座高30
座长95cm
家具家装PLUS会员日
源头工厂
破损免费补发
发一件九折
PLUS",0.0,27.810835283510315,20.85812646263274,71.69811320754717,0.8100793361663818,0.7949532866477966,0.8024450540542603,0.0,0.8266207575798035,0
倾斜文本/倾斜文本_0014.jpg,"コンパクトで快適   スペースを取らない。
場所を選ばないコンパクトサイズ、ソファとベッドをワンクリックですぐ手に入れます。
設置面積わずか約1平方メートル
リビング設置可能、バルコニー設置可能
奥行き：100cm","小身姿快適で、スペースを占めません  
小さな体格で、場所を選ばず簡単に配置できます。ソファとベッドが一瞬で手に入ります  

占地は約1m²です。リビングルームやバルコニーに置けます  
幅：104cm  
総深さ：100cm","小身姿舒适 不占空间
小巧身姿，不挑场景可轻松放置 沙发和床一键拥有
占地仅≈1m²
放客厅|放阳台
总深：100cm",0.0,22.73836144652884,17.05377108489663,95.0,0.7726914882659912,0.7646264433860779,0.7686378359794617,0.0,0.8345775008201599,0
