img,reference,predicts,source,BLEU,CHRF,CHRF++,TER,BERT-P,BERT-R,BERT-F1,METEOR,COMET
it/43/53/it_10412664.jpg,"कुत्ता
बिल्ली
पिता
बस
दूध","व्यक्ति
पिता
प्राणी
कुत्ता
अनाज
दूध
संचार साधन
बस
कुत्ता
149
95
147","Cane
Gatto
Padre
Autobus
Latte",4.368583925857938,26.98732362689933,27.819180728881538,220.00000000000003,0.7047715187072754,0.763047993183136,0.7327529191970825,0.0,0.4316680431365967
it/8f/ac/it_10417366.jpg,"बर्फ
रेत का तूफ़ान
सूर्य
धूल
ओला
बारिश","बर्फ
धूल का तूफान
सूरज
गर्दन
धूल
बारिश","Neve
Tempesta di sabbia
Sole
Polvere
Grandine
Pioggia",7.809849842300637,34.39815736934871,32.049569720484214,62.5,0.8569468855857849,0.8604171276092529,0.8586784601211548,0.16666666666666666,0.7294520139694214
it/03/d9/it_10388340.jpg,"सरल असेंबली
कुछ ही चरणों में
1
2
3
4
5","सरल संस्थापन
केवल कुछ पदों की आवश्यकता है","Montaggio semplice
Bastano pochi passaggi
1
2
3
4
5",4.513617516969122,12.171484007993765,11.618271291323998,90.9090909090909,0.7670809030532837,0.695379912853241,0.7294727563858032,0.09615384615384616,0.4780537784099579
it/97/1b/it_10400237.jpg,"स्थापना
1
2
3
4","इंस्टॉलेशन

1
2
3
4","installazione
1
2
3
4",66.87403049764218,21.75936078949634,35.798382012368855,20.0,0.7671020030975342,0.8747379779815674,0.8173917531967163,0.0,0.6760205626487732
it/06/41/it_10408485.jpg,"बाहर
कार
मानव
सोफा
बिस्तर
फर्श","बाहर
सोफा
कार
मानवीय
बिस्तर
फर्श","All'aperto
Auto
Umano
Divano
Letto
Pavimenti",20.412414523193146,65.25800942725107,61.872006857509184,33.33333333333333,0.9308271408081055,0.9379116296768188,0.9343559145927429,0.0,0.8238157629966736
it/43/44/it_10412741.jpg,अच्छा!,अच्छा!,Buono!,100.00000000000004,100.0,100.0,0.0,1.0000144243240356,1.0000144243240356,1.0000144243240356,0.9375,0.9901230931282043
it/e9/ba/it_10405277.jpg,"जांघें
टखने
नितंब
एब्स
कंधे
बाँहें","लांघे
पायों की गुद्धियाँ
ग्लूटीज़
पेट
कंधे
बाजु","Cosce
Caviglie
Glutei
Abs
Spalle
Braccia",5.522397783539471,21.69935429300214,18.228369846833424,116.66666666666667,0.7296269536018372,0.7504346370697021,0.7398845553398132,0.0,0.42696046829223633
it/9a/ca/it_10388965.jpg,रिकार्डो,रिचार्डो,Riccardo,0.0,45.654761904761905,39.132653061224495,100.0,0.8545234203338623,0.8829121589660645,0.8684858083724976,0.0,0.7678733468055725
it/e2/91/it_10381137.jpg,दिलेत्ता,इलेट्टा,Diletta,0.0,10.998107852412486,9.426949587782131,100.0,0.7909990549087524,0.8162345886230469,0.8034186959266663,0.0,0.7357327938079834
it/14/cd/it_10360277.jpg,"हर तरह की ज़रूरत को पूरा करें
AC 4000W/16A
USB C 15W/3.0
USB A 12W/2.4","सभी प्रकार की आवश्यकता को पूरा करें
AC
4000w/16A
USB C
15W/3.0A
USB A
12W/2.4A","Soddisfare ogni tipo di esigenza
AC 4000W/16A
USB C 15W/3.0
USB A 12W/2.4",61.53267326643311,64.12640918491864,60.09063766239782,23.809523809523807,0.9340393543243408,0.9078565239906311,0.9207618832588196,0.32341750259425806,0.9137916564941406
it/6b/28/it_10388036.jpg,"शुक्रवार
सुबह
11:56
पूर्वाह्न
10,
जून
2022","विनर्दी
मॉटना
10,
11:56 अ.प.
जूनो
2022
10.1 पोल्लिचि
248mm
222mm
163mm
128mm
TROCOIN","VENERDÌ
MATTINA
11:56
A.M.
10,
GIUGNO
2022",5.10809933294318,17.812861993392485,20.022933952461177,162.5,0.5969787836074829,0.6444124579429626,0.6197894215583801,0.13888888888888892,0.31162458658218384
it/c0/75/it_10394247.jpg,"पीक करंट
6000A
26800 mAh
आगे बढ़ते रहें!
4.0L
6.0L
8.5L","कोरेंटे
डी पिक्को 6000A 26800mAh
आइए आगे बढ़ते हैं!
4.0L 6.0L 8.5L
188%
BRPOM","CORRENTE DI PICCO
6000A
26800 mAh
Andiamo avanti !
4.0L
6.0L
8.5L",18.92240568795936,64.66140458257026,59.578356180345914,81.81818181818183,0.8342376351356506,0.9018722772598267,0.8667374849319458,0.13157894736842107,0.7458714246749878
it/ee/e5/it_10373217.jpg,"महिलाएँ
पुरुष
बुजुर्ग
युवा
बच्चे
बच्चा","डोन्ने
उमिनी
अंजानो
गियोवानी
बम्बिनी
बम्बिनो","Donne
Uomini
Anziano
Giovani
Bambini
Bambino",0.0,7.811951455314368,5.858963591485777,100.0,0.6117222905158997,0.617816686630249,0.6147544384002686,0.0,0.22251564264297485
it/90/80/it_10379274.jpg,बिलकुल सही!,"परफेटो!
18 मिमी
47 मिमी",Perfetto!,8.116697886877475,4.23728813559322,6.65115046927036,250.0,0.6573659181594849,0.7038387060165405,0.6798089742660522,0.15625,0.41033869981765747
it/9c/6e/it_10396800.jpg,एकल,"IT: एकल
ES: 80 का बिस्तर
DE/FR/SE/PL/BE: 135 x 200 सेमी",Singolo,1.727223799216787,19.112906435308634,21.420765483182063,1800.0,0.589168906211853,0.7453607320785522,0.658124566078186,0.0,0.32568588852882385
it/bf/7a/it_10377070.jpg,मनूएला,मानुएला,Manuela,0.0,23.82207510931306,20.41892152226834,100.0,0.9361147880554199,0.9361147880554199,0.9361147880554199,0.0,0.8515018820762634
